"SUID","ActivitySummary128Min","ActivitySummary16Min","ActivitySummary2Min","ActivitySummary32Min","ActivitySummary4Min","ActivitySummary64Min","ActivitySummary8Min","FirstActive","Gene","HeatMapBg1","HeatMapBg2","HeatMapBg3","HeatMapBg4","HeatMapBg5","HeatMapBg6","InsigPeptide10Log2FC","InsigPeptide1Log2FC","InsigPeptide2Log2FC","InsigPeptide3Log2FC","InsigPeptide4Log2FC","InsigPeptide5Log2FC","InsigPeptide6Log2FC","InsigPeptide7Log2FC","InsigPeptide8Log2FC","InsigPeptide9Log2FC","name","NodeType","Protein","ReferenceEGFR","selected","shared name","SigPeptide1Log2FC","SigPeptide2Log2FC","SigPeptide3Log2FC","SigPeptide4Log2FC","SigPeptide5Log2FC","SigPeptide6Log2FC"
"82","-1","0","0","0","0","0","0","128","WIZ","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"WIZ_HUMAN","SigPrize","Protein Wiz (Widely-interspaced zinc finger-containing protein) (Zinc finger protein 803)","false","false","WIZ_HUMAN","0.0|-0.26908|-0.396803|-0.397035|-0.154848|-0.335337|-0.508814|-0.776597",,,,,
"83","0","0","0","0","-1","0","0","4","WDR70","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.494759|-0.046063|-0.278539|-0.356548|-0.126604|-0.408121|-0.083541",,,,,,,,,"WDR70_HUMAN","SigPrize","WD repeat-containing protein 70","false","false","WDR70_HUMAN","0.0|0.216734|-0.331308|-0.201465|-0.470666|0.029007|-0.312634|-0.10534",,,,,
"84",,,,,,,,"2","WRAP53","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.673149|-0.160888|-0.71141|0.076659|-0.40101|-0.209134|-0.123813",,,,,,,,,"WAP53_HUMAN","InsigPrize","Telomerase Cajal body protein 1 (WD repeat-containing protein 79) (WD repeat-containing protein WRAP53) (WD40 repeat-containing protein antisense to TP53 gene)","false","false","WAP53_HUMAN",,,,,,
"85",,,,,,,,"2","WAPAL","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.277765|0.186754|-0.422231|-0.072023|0.330086|0.108928|0.280707",,,,,,,,,"WAPL_HUMAN","InsigPrize","Wings apart-like protein homolog (Friend of EBNA2 protein)","false","false","WAPL_HUMAN",,,,,,
"86",,,,,,,,"2","TRIM25","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.113044|-0.26684|-0.161024|-0.05699|-0.088567|-0.273956|0.160614",,,,,,,,,"TRI25_HUMAN","InsigPrize","E3 ubiquitin/ISG15 ligase TRIM25 (EC 6.3.2.19) (EC 6.3.2.n3) (Estrogen-responsive finger protein) (RING finger protein 147) (Tripartite motif-containing protein 25) (Ubiquitin/ISG15-conjugating enzyme TRIM25) (Zinc finger protein 147)","false","false","TRI25_HUMAN",,,,,,
"87","0","0","0","0","1","0","-1","4","TRA2A","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.26145|1.392136|-0.416871|-0.168472|0.005188|-0.026399|0.080335","0.0|-0.155437|1.607267|-0.123524|-0.22761|-0.279509|-0.204479|-0.298769","0.0|-0.329657|-0.155938|-0.501747|-0.199679|-0.372939|-0.285519|-0.619646",,,,,,,"TRA2A_HUMAN","SigPrize","Transformer-2 protein homolog alpha (TRA-2 alpha) (TRA2-alpha) (Transformer-2 protein homolog A)","false","false","TRA2A_HUMAN","0.0|0.001988|0.82801|0.012584|-0.017165|-0.189306|-0.115267|-0.083134",,,,,
"88",,,,,,,,"2","TOM1","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"TOM1_HUMAN","Steiner","Target of Myb protein 1","false","false","TOM1_HUMAN",,,,,,
"89",,,,,,,,"2","TOR1AIP1","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.448454|-0.595406|-0.719703|-0.263259|-0.193916|-0.136889|-0.31034",,,,,,,,,"TOIP1_HUMAN","InsigPrize","Torsin-1A-interacting protein 1 (Lamin-associated protein 1B) (LAP1B)","false","false","TOIP1_HUMAN",,,,,,
"90","0","0","1","0","1","0","-1","2","TOM1L2","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|1.115434|1.422988|0.674434|0.429671|-0.073844|0.256632|-0.245967",,,,,,,,,"TM1L2_HUMAN","SigPrize","TOM1-like protein 2 (Target of Myb-like protein 2)","false","false","TM1L2_HUMAN","0.0|0.315423|1.292613|0.056336|0.00896|-0.113238|-0.084693|-0.438337","0.0|1.306492|1.936358|0.62812|0.513913|0.192722|-0.13743|-0.275088","0.0|2.09487|1.610601|1.060566|0.777034|0.24329|0.141191|-0.149635",,,
"91",,,,,,,,"2","TOLLIP","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"Q6FIE9_HUMAN","Steiner","TOLLIP protein (Toll interacting protein) (Toll interacting protein, isoform CRA_a) (cDNA, FLJ96670, Homo sapiens toll interacting protein (TOLLIP), mRNA)","false","false","Q6FIE9_HUMAN",,,,,,
"92","1","0","0","0","0","0","0","128","FAM208A","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"F208A_HUMAN","SigPrize","Protein FAM208A (CTCL tumor antigen se89-1) (Retinoblastoma-associated protein RAP140)","false","false","F208A_HUMAN","0.0|0.009495|0.015786|0.023106|0.217577|0.464061|0.362679|0.86703",,,,,
"93",,,,,,,,"2","TFIP11","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.164474|-0.758179|-0.188582|-0.368813|-0.6201|-0.298125|-0.122788","0.0|-0.020323|0.156689|-0.259227|-0.138041|-0.075519|0.178512|0.322601",,,,,,,,"TFP11_HUMAN","InsigPrize","Tuftelin-interacting protein 11 (Septin and tuftelin-interacting protein 1) (STIP-1)","false","false","TFP11_HUMAN",,,,,,
"94","0","-1","0","-1","-1","0","0","4","GTF3C1","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"TF3C1_HUMAN","SigPrize","General transcription factor 3C polypeptide 1 (TF3C-alpha) (TFIIIC box B-binding subunit) (Transcription factor IIIC 220 kDa subunit) (TFIIIC 220 kDa subunit) (TFIIIC220) (Transcription factor IIIC subunit alpha)","false","false","TF3C1_HUMAN","0.0|0.262297|-0.488297|-0.58917|-1.029506|-1.273578|-0.96389|-1.108828",,,,,
"95",,,,,,,,"2","RAVER1","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.129693|-0.468038|-0.270863|-0.33003|-0.247525|-0.22226|-0.216991",,,,,,,,,"E9PAU2_HUMAN","InsigPrize","Ribonucleoprotein PTB-binding 1","false","false","E9PAU2_HUMAN",,,,,,
"96",,,,,,,,"2","STRN4","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.520005|-0.555948|-0.709461|-0.514685|-0.566767|-0.56611|-0.450979",,,,,,,,,"STRN4_HUMAN","InsigPrize","Striatin-4 (Zinedin)","false","false","STRN4_HUMAN",,,,,,
"97",,,"0",,,,,"4","SRSF6","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.67809|0.418815|-0.291894|0.325168|0.316391|0.33748|0.307634","0.0|0.164086|-0.016012|0.044485|-0.04627|0.27256|0.199198|0.174303",,,,,,,,"SRSF6_HUMAN","InsigPrize","Serine/arginine-rich splicing factor 6 (Pre-mRNA-splicing factor SRP55) (Splicing factor, arginine/serine-rich 6)","false","false","SRSF6_HUMAN",,,,,,
"98","0","0","1","0","0","0","1","2","SPRY1","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"SPY1_HUMAN","SigPrize","Protein sprouty homolog 1 (Spry-1)","true","false","SPY1_HUMAN","0.0|1.208937|1.154718|1.537171|1.417093|0.841616|0.158571|-0.242812",,,,,
"99",,,,,,,,"2","PDS5B","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|0.043415|0.346553|-0.042997|0.167569|0.056163|0.191763|-0.244422",,,,,,,,,"PDS5B_HUMAN","InsigPrize","Sister chromatid cohesion protein PDS5 homolog B (Androgen-induced proliferation inhibitor) (Androgen-induced prostate proliferative shutoff-associated protein AS3)","false","false","PDS5B_HUMAN",,,,,,
"100","0","0","0","0","-1","0","0","4","PDS5A","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.186485|-0.574771|-0.101698|-0.026169|0.179217|-0.168623|-0.153586",,,,,,,,,"PDS5A_HUMAN","SigPrize","Sister chromatid cohesion protein PDS5 homolog A (Cell proliferation-inducing gene 54 protein) (Sister chromatid cohesion protein 112) (SCC-112)","false","false","PDS5A_HUMAN","0.0|-0.340958|-1.087026|-0.907624|-0.975325|-0.550582|-0.905647|-0.61766",,,,,
"101",,,,,,,,"2","SAMD4B","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|0.185987|0.39295|0.311694|0.315563|0.355962|0.538812|0.530953",,,,,,,,,"SMAG2_HUMAN","InsigPrize","Protein Smaug homolog 2 (Smaug 2) (hSmaug2) (Sterile alpha motif domain-containing protein 4B) (SAM domain-containing protein 4B)","false","false","SMAG2_HUMAN",,,,,,
"102","-1","0","0","0","-1","0","0","4","MKX","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"MKX_HUMAN","SigPrize","Homeobox protein Mohawk","false","false","MKX_HUMAN","0.0|-0.109718|-0.414542|0.036325|-0.075172|-0.14694|-0.389539|-0.755791",,,,,
"103",,,,,,,,"2","SIN3A","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.338092|0.742962|-0.173705|-0.44345|-0.163976|-0.175889|0.100801",,,,,,,,,"SIN3A_HUMAN","InsigPrize","Paired amphipathic helix protein Sin3a (Histone deacetylase complex subunit Sin3a) (Transcriptional corepressor Sin3a)","true","false","SIN3A_HUMAN",,,,,,
"104","0","0","1","0",,"0","-1","2","INPPL1","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"SHIP2_HUMAN","SigPrize","Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 (EC 3.1.3.86) (Inositol polyphosphate phosphatase-like protein 1) (INPPL-1) (Protein 51C) (SH2 domain-containing inositol 5'-phosphatase 2) (SH2 domain-containing inositol phosphatase 2) (SHIP-2)","true","false","SHIP2_HUMAN","0.0|3.377187|3.666973|2.948299|2.550473|2.213122|1.765637|1.308853","0.0|1.787733|1.170273|0.543703|0.283463|0.038588|-0.043618|-0.389834",,,,
"105","0","-1","0","-1","-1","0","-1","4","SGK223","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"SG223_HUMAN","SigPrize","Tyrosine-protein kinase SgK223 (EC 2.7.10.2) (Sugen kinase 223)","false","false","SG223_HUMAN","0.0|-0.06721|-0.276253|-0.816116|-0.475365|-0.491368|-0.115373|-0.233074","0.0|0.323388|-0.651095|-0.383553|-0.749838|-1.010514|-0.25334|-0.443974",,,,
"106",,,,,,,,"2","SENP3","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.286488|-0.359227|-0.591104|-0.027824|-0.012794|-0.118883|-0.106324",,,,,,,,,"SENP3_HUMAN","InsigPrize","Sentrin-specific protease 3 (EC 3.4.22.68) (SUMO-1-specific protease 3) (Sentrin/SUMO-specific protease SENP3)","false","false","SENP3_HUMAN",,,,,,
"107",,,"0",,,,,"4","SCRIB","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.416339|-0.08663|0.236033|0.375876|0.459907|0.486531|0.402188","0.0|0.310804|0.395497|0.536758|0.669698|0.670503|0.687634|0.154548",,,,,,,,"SCRIB_HUMAN","InsigPrize","Protein scribble homolog (Scribble) (hScrib) (Protein LAP4)","false","false","SCRIB_HUMAN",,,,,,
"108","0","0","1","0","0","0","0","2","SCAMP3","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"SCAM3_HUMAN","SigPrize","Secretory carrier-associated membrane protein 3 (Secretory carrier membrane protein 3)","false","false","SCAM3_HUMAN","0.0|1.70223|1.231154|0.690138|0.599166|0.340934|0.177739|-0.044851",,,,,
"109","0","1","0","0","0","0","0","16","FUNDC2","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"FUND2_HUMAN","SigPrize","FUN14 domain-containing protein 2 (Cervical cancer proto-oncogene 3 protein) (HCC-3) (Hepatitis C virus core-binding protein 6)","false","false","FUND2_HUMAN","0.0|-0.081288|0.435767|0.491622|0.773284|0.767278|0.501763|0.123586",,,,,
"110","0","0","0","0","-1","0","0","4","RREB1","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"RREB1_HUMAN","SigPrize","Ras-responsive element-binding protein 1 (RREB-1) (Finger protein in nuclear bodies) (Raf-responsive zinc finger protein LZ321) (Zinc finger motif enhancer-binding protein 1) (Zep-1)","false","false","RREB1_HUMAN","0.0|-0.038341|-0.577068|-0.372038|-0.455088|-0.202041|-0.453723|-0.326314",,,,,
"111","0","0","1","0","0","0","0","2","OTULIN","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"OTUL_HUMAN","SigPrize","Ubiquitin thioesterase otulin (EC 3.4.19.12) (Deubiquitinating enzyme otulin) (OTU domain-containing deubiquitinase with linear linkage specificity) (Ubiquitin thioesterase Gumby)","false","false","OTUL_HUMAN","0.0|3.023461|2.424965|2.233704|1.783018|1.13936|0.570082|0.079765",,,,,
"112","0","1","0","-1","1","0","1","4","RBCK1","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"HOIL1_HUMAN","SigPrize","RanBP-type and C3HC4-type zinc finger-containing protein 1 (EC 6.3.2.-) (HBV-associated factor 4) (Heme-oxidized IRP2 ubiquitin ligase 1) (HOIL-1) (Hepatitis B virus X-associated protein 4) (RING finger protein 54) (Ubiquitin-conjugating enzyme 7-interacting protein 3)","false","false","HOIL1_HUMAN","0.0|2.044013|2.479455|2.503205|2.751328|1.741613|0.678238|0.414383",,,,,
"113","0","0","0","0","0","0","1","8","ZFYVE16","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"ZFY16_HUMAN","SigPrize","Zinc finger FYVE domain-containing protein 16 (Endofin) (Endosome-associated FYVE domain protein)","false","false","ZFY16_HUMAN","0.0|-0.086884|0.734595|1.059362|0.998314|0.250038|0.270211|-0.26589",,,,,
"114","0","0","0","0","0","0","1","8","STAM2","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|0.310236|0.495995|0.726981|0.47754|0.172564|-0.063896|-0.228844",,,,,,,,,"STAM2_HUMAN","SigPrize","Signal transducing adapter molecule 2 (STAM-2) (Hrs-binding protein)","false","false","STAM2_HUMAN","0.0|0.780561|1.445948|3.04653|2.398611|1.286409|0.266019|0.156402",,,,,
"115",,,,,,,,"2","MYO6","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|1.342082|1.858593|0.674503|0.56864|0.555902|0.734901|-0.26355",,,,,,,,,"MYO6_HUMAN","InsigPrize","Unconventional myosin-VI (Unconventional myosin-6)","false","false","MYO6_HUMAN",,,,,,
"116",,,,,,,,"2","RNF11","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"RNF11_HUMAN","Steiner","RING finger protein 11","false","false","RNF11_HUMAN",,,,,,
"117","0","0","0","0","1","0","-1","4","RNF213","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"RN213_HUMAN","SigPrize","E3 ubiquitin-protein ligase RNF213 (EC 6.3.2.-) (ALK lymphoma oligomerization partner on chromosome 17) (Mysterin) (RING finger protein 213)","false","false","RN213_HUMAN","0.0|-0.361225|0.671803|-0.498992|-0.243634|-0.059533|0.011045|-0.020189",,,,,
"118","1","0","0","0","0","0","0","128","RPLP1","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.025974|-0.030625|-0.16639|-0.23192|-0.068643|-0.066113|0.76162",,,,,,,,,"RLA1_HUMAN","SigPrize","60S acidic ribosomal protein P1","false","false","RLA1_HUMAN","0.0|0.05802|-0.079096|-0.073173|-0.12023|0.185008|0.193872|1.191533",,,,,
"119",,,,,,,,"2","REC8","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|0.083935|0.033616|-0.081205|-0.110945|-0.06684|0.036119|-0.861753",,,,,,,,,"REC8_HUMAN","InsigPrize","Meiotic recombination protein REC8 homolog (Cohesin Rec8p)","false","false","REC8_HUMAN",,,,,,
"120",,,,,,,,"2","RANBP2","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.268151|0.293463|-0.206135|-0.360822|-0.051971|0.118196|0.228815",,,,,,,,,"RBP2_HUMAN","InsigPrize","E3 SUMO-protein ligase RanBP2 (EC 6.3.2.-) (358 kDa nucleoporin) (Nuclear pore complex protein Nup358) (Nucleoporin Nup358) (Ran-binding protein 2) (RanBP2) (p270)","false","false","RBP2_HUMAN",,,,,,
